City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
199,Sindou,BF,75.99,clear sky,10.67,-5.17,LERABA HOTEL
208,Cabo San Lucas,MX,79.11,scattered clouds,22.89,-109.91,Hotel Tesoro Los Cabos
210,Caramay,PH,81.91,few clouds,10.18,119.24,Peace and Love Beach Club
215,Honiara,SB,82.9,overcast clouds,-9.43,159.95,Heritage Park Hotel
216,Soe,ID,78.53,overcast clouds,-9.86,124.28,Dena Hotel
219,San Cristobal,VE,75.38,overcast clouds,7.77,-72.22,Pirineos
223,Manjacaze,MZ,76.39,overcast clouds,-24.71,33.88,Hotel Gani
224,Porto Velho,BR,78.85,moderate rain,-8.76,-63.9,Hotel Central
228,Lufilufi,WS,83.79,few clouds,-13.87,-171.6,Leuaina Beach Resort and Spa
230,Port Blair,IN,79.18,broken clouds,11.67,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
236,Bambous Virieux,MU,77.25,light rain,-20.34,57.76,Casa Tia Villa
237,Voh,NC,86.94,broken clouds,-20.97,164.7,Le gîte du Koniambo
239,Hithadhoo,MV,81.14,overcast clouds,-0.6,73.08,Scoop Guest House
246,Pringsewu,ID,76.57,overcast clouds,-5.36,104.97,Urban Style by Front One
247,Makakilo City,US,75.52,light rain,21.35,-158.09,Marriott's Ko Olina Beach Club
249,Pochutla,MX,82.22,clear sky,15.74,-96.47,Hotel Posada San Jose
257,Palu,ID,86.41,overcast clouds,-0.89,119.87,Hotel Santika Palu
259,Cockburn Town,TC,80.44,few clouds,21.46,-71.14,Osprey Beach Hotel
265,Sawakin,SD,81.01,few clouds,19.11,37.33,فندق الدويم
269,Bandarbeyla,SO,75.16,clear sky,9.49,50.81,JABIR HOTEL
273,Paracuru,BR,83.1,broken clouds,-3.41,-39.03,Hotel Vento Brasil
275,Kavaratti,IN,80.71,overcast clouds,10.57,72.64,Hotels in Lakshadweep Islands
